Time resolution is 1 ps
time=                   0 	a=0000 	b=0000 	cin=0 	s=0000 	cout=0
time=                  10 	a=0001 	b=0000 	cin=0 	s=0001 	cout=0
time=                  20 	a=0001 	b=0001 	cin=0 	s=0010 	cout=0
time=                  30 	a=0001 	b=0001 	cin=1 	s=0011 	cout=0
time=                  40 	a=0001 	b=0001 	cin=0 	s=0010 	cout=0
time=                  50 	a=0001 	b=0010 	cin=0 	s=0011 	cout=0
time=                  60 	a=0001 	b=0010 	cin=1 	s=0100 	cout=0
time=                  70 	a=0001 	b=0010 	cin=0 	s=0011 	cout=0
time=                  80 	a=0001 	b=0011 	cin=0 	s=0100 	cout=0
time=                  90 	a=0001 	b=0011 	cin=1 	s=0101 	cout=0
time=                 100 	a=0001 	b=0011 	cin=0 	s=0100 	cout=0
time=                 110 	a=0001 	b=0100 	cin=0 	s=0101 	cout=0
time=                 120 	a=0001 	b=0100 	cin=1 	s=0110 	cout=0
time=                 130 	a=0001 	b=0100 	cin=0 	s=0101 	cout=0
time=                 140 	a=0001 	b=0101 	cin=0 	s=0110 	cout=0
time=                 150 	a=0001 	b=0101 	cin=1 	s=0111 	cout=0
time=                 160 	a=0001 	b=0101 	cin=0 	s=0110 	cout=0
time=                 170 	a=0001 	b=0110 	cin=0 	s=0111 	cout=0
time=                 180 	a=0001 	b=0110 	cin=1 	s=1000 	cout=0
time=                 190 	a=0001 	b=0110 	cin=0 	s=0111 	cout=0
time=                 200 	a=0001 	b=0111 	cin=0 	s=1000 	cout=0
time=                 210 	a=0001 	b=0111 	cin=1 	s=1001 	cout=0
time=                 220 	a=0001 	b=0111 	cin=0 	s=1000 	cout=0
time=                 230 	a=0001 	b=1000 	cin=0 	s=1001 	cout=0
time=                 240 	a=0001 	b=1000 	cin=1 	s=1010 	cout=0
time=                 250 	a=0001 	b=1000 	cin=0 	s=1001 	cout=0
time=                 260 	a=0001 	b=1001 	cin=0 	s=1010 	cout=0
time=                 270 	a=0001 	b=1001 	cin=1 	s=1011 	cout=0
time=                 280 	a=0001 	b=1001 	cin=0 	s=1010 	cout=0
time=                 290 	a=0001 	b=1010 	cin=0 	s=1011 	cout=0
time=                 300 	a=0001 	b=1010 	cin=1 	s=1100 	cout=0
time=                 310 	a=0001 	b=1010 	cin=0 	s=1011 	cout=0
time=                 320 	a=0001 	b=1011 	cin=0 	s=1100 	cout=0
time=                 330 	a=0001 	b=1011 	cin=1 	s=1101 	cout=0
time=                 340 	a=0001 	b=1011 	cin=0 	s=1100 	cout=0
time=                 350 	a=0001 	b=1100 	cin=0 	s=1101 	cout=0
time=                 360 	a=0001 	b=1100 	cin=1 	s=1110 	cout=0
time=                 370 	a=0001 	b=1100 	cin=0 	s=1101 	cout=0
time=                 380 	a=0001 	b=1101 	cin=0 	s=1110 	cout=0
time=                 390 	a=0001 	b=1101 	cin=1 	s=1111 	cout=0
time=                 400 	a=0001 	b=1101 	cin=0 	s=1110 	cout=0
time=                 410 	a=0001 	b=1110 	cin=0 	s=1111 	cout=0
time=                 420 	a=0001 	b=1110 	cin=1 	s=0000 	cout=1
time=                 430 	a=0001 	b=1110 	cin=0 	s=1111 	cout=0
time=                 440 	a=0001 	b=1111 	cin=0 	s=0000 	cout=1
time=                 450 	a=0001 	b=1111 	cin=1 	s=0001 	cout=1
time=                 460 	a=0001 	b=1111 	cin=0 	s=0000 	cout=1
time=                 470 	a=0001 	b=0000 	cin=0 	s=0001 	cout=0
time=                 480 	a=0001 	b=0000 	cin=1 	s=0010 	cout=0
time=                 490 	a=0001 	b=0000 	cin=0 	s=0001 	cout=0
time=                 500 	a=0010 	b=0000 	cin=0 	s=0010 	cout=0
time=                 510 	a=0010 	b=0001 	cin=0 	s=0011 	cout=0
time=                 520 	a=0010 	b=0001 	cin=1 	s=0100 	cout=0
time=                 530 	a=0010 	b=0001 	cin=0 	s=0011 	cout=0
time=                 540 	a=0010 	b=0010 	cin=0 	s=0100 	cout=0
time=                 550 	a=0010 	b=0010 	cin=1 	s=0101 	cout=0
time=                 560 	a=0010 	b=0010 	cin=0 	s=0100 	cout=0
time=                 570 	a=0010 	b=0011 	cin=0 	s=0101 	cout=0
time=                 580 	a=0010 	b=0011 	cin=1 	s=0110 	cout=0
time=                 590 	a=0010 	b=0011 	cin=0 	s=0101 	cout=0
time=                 600 	a=0010 	b=0100 	cin=0 	s=0110 	cout=0
time=                 610 	a=0010 	b=0100 	cin=1 	s=0111 	cout=0
time=                 620 	a=0010 	b=0100 	cin=0 	s=0110 	cout=0
time=                 630 	a=0010 	b=0101 	cin=0 	s=0111 	cout=0
time=                 640 	a=0010 	b=0101 	cin=1 	s=1000 	cout=0
time=                 650 	a=0010 	b=0101 	cin=0 	s=0111 	cout=0
time=                 660 	a=0010 	b=0110 	cin=0 	s=1000 	cout=0
time=                 670 	a=0010 	b=0110 	cin=1 	s=1001 	cout=0
time=                 680 	a=0010 	b=0110 	cin=0 	s=1000 	cout=0
time=                 690 	a=0010 	b=0111 	cin=0 	s=1001 	cout=0
time=                 700 	a=0010 	b=0111 	cin=1 	s=1010 	cout=0
time=                 710 	a=0010 	b=0111 	cin=0 	s=1001 	cout=0
time=                 720 	a=0010 	b=1000 	cin=0 	s=1010 	cout=0
time=                 730 	a=0010 	b=1000 	cin=1 	s=1011 	cout=0
time=                 740 	a=0010 	b=1000 	cin=0 	s=1010 	cout=0
time=                 750 	a=0010 	b=1001 	cin=0 	s=1011 	cout=0
time=                 760 	a=0010 	b=1001 	cin=1 	s=1100 	cout=0
time=                 770 	a=0010 	b=1001 	cin=0 	s=1011 	cout=0
time=                 780 	a=0010 	b=1010 	cin=0 	s=1100 	cout=0
time=                 790 	a=0010 	b=1010 	cin=1 	s=1101 	cout=0
time=                 800 	a=0010 	b=1010 	cin=0 	s=1100 	cout=0
time=                 810 	a=0010 	b=1011 	cin=0 	s=1101 	cout=0
